identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
app.grammarly.com,URL,"app.grammarly.com is Grammarly’s web application, enabling users to create, edit, and manage documents while accessing the full suite of Grammarly features through the online editor.",true,true,,,,critical,,2024-11-25 17:19:01 UTC,2024-11-25 17:19:01 UTC
Superhuman Go,OTHER,"Superhuman Go is a proactive AI assistant that integrates with 100+ apps to coordinate agents and provide context-aware help across your workflow. It works in every tab where you work.
[Superhuman Go - AI Assistant](https://superhuman.com/products/go-ai-assistant)
",true,true,,,,critical,,2025-10-15 11:20:28 UTC,2025-11-20 12:15:58 UTC
superhuman.com,URL,,true,true,,,,critical,,2025-11-12 12:27:42 UTC,2025-11-20 11:53:32 UTC
*.superhuman.com,WILDCARD,"Only domains that originate through superhuman.com are accepted here. If we determine the domain is generated through superhuman mail or its infra, we will mark this as out of scope.",true,true,low,low,low,critical,,2025-11-20 11:53:02 UTC,2025-11-25 13:25:21 UTC
gateway.superhuman.com,URL,,true,true,,,,critical,,2025-11-20 11:53:10 UTC,2025-11-25 13:23:44 UTC
id.superhuman.com,URL,,true,true,,,,critical,,2025-11-20 11:53:20 UTC,2025-11-25 13:23:44 UTC
settings.superhuman.com,URL,,true,true,,,,critical,,2025-11-20 11:53:26 UTC,2025-11-20 11:53:26 UTC
status.coda.io,URL,,false,false,,,,critical,,2025-11-20 12:28:43 UTC,2025-11-21 11:12:15 UTC
Coda Chrome Extension,OTHER,,true,true,low,low,medium,high,,2025-11-20 12:29:31 UTC,2025-11-20 12:29:31 UTC
codacontent.io,URL,,true,true,not_defined,not_defined,not_defined,critical,,2025-11-20 12:29:31 UTC,2025-11-21 11:24:06 UTC
codahosted.io,URL,,true,true,low,low,low,critical,,2025-11-20 12:29:31 UTC,2025-11-21 11:21:02 UTC
io.coda,APPLE_STORE_APP_ID,,true,true,,,,critical,,2025-11-20 12:29:31 UTC,2025-11-20 12:29:31 UTC
io.coda.codaapp,GOOGLE_PLAY_APP_ID,,true,true,,,,critical,,2025-11-20 12:29:31 UTC,2025-11-20 12:29:31 UTC
Superhuman Mail,OTHER,"Any assets related to Superhuman Mail are out of scope and go through VDP via `security@superhuman.com`
  * mail.superhuman.com
  * accounts.superhuman.com
  * r.superhuman.com
  * media.superhuman.com 
  * assets.mail.superhuman.com
  * emojis.superhuman.com 
  * help.superhuman.com
  * blog.superhuman.com
  * media.superhuman.com
  * accounts.superhuman.com
  * preferences.superhuman.com
  * email.superhuman.com
  * join.superhuman.com
  * https://superhuman.com/pricing
  * https://superhuman.com/products/mail/*

And any other assets not mentioned here but originating from the Superhuman Mail product/website.",false,false,,,,none,,2025-11-20 17:11:39 UTC,2025-11-27 12:49:22 UTC
coda.grammarly.com,URL,,true,true,,,,critical,,2025-11-21 10:38:22 UTC,2025-11-21 10:38:22 UTC
coda.io,URL,,true,true,,,,critical,,2025-11-21 11:09:02 UTC,2025-11-21 11:09:02 UTC
*.coda.io,WILDCARD,,true,true,low,low,low,critical,,2025-11-21 11:09:29 UTC,2025-11-21 11:09:46 UTC
